Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\FearConditioning\data/FC-AAXXX-Admin_RA-run_2-2014_Sep_11_1100.csv,Time:,2014_Sep_11_1100,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\FearConditioning\T1000_FC_Schedule2.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('ARROW_ONSET', 3), ('RESPONSE', 4), ('IMAGE_ONSET', 5), ('US', 6), ('SOUND', 7), ('RATING', 8), ('TASK_END', 99)],Trial Types are coded as follows: 0->left arrow; 1->right arrow; 2->CS-; 3->CS+; 4->CS+&US, volume=0.1
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,-0.00499771919567,NA,NA,NA
NA,NA,2,13.520402641,13.5254003602,NA,NA
1,0,3,17.8275616125,NA,NA,NA
2,1,3,20.8325531606,NA,NA,NA
3,0,3,23.8375122073,NA,NA,NA
4,1,3,26.8258701083,NA,NA,NA
5,1,3,29.8308245933,NA,NA,NA
6,3,5,32.8358503536,NA,NA,NA
7,1,3,34.8391361426,NA,NA,NA
8,1,3,37.8274703801,NA,NA,NA
9,0,3,40.8324020571,NA,NA,NA
10,2,5,43.8374805611,NA,NA,NA
11,0,3,45.8407532354,NA,NA,NA
12,0,3,48.829039576,NA,NA,NA
13,0,3,51.8340291285,NA,NA,NA
14,0,3,54.8390058514,NA,NA,NA
15,0,3,57.827314715,NA,NA,NA
16,2,5,60.8323436114,NA,NA,NA
17,1,3,62.835639664,NA,NA,NA
18,1,3,65.8406237995,NA,NA,NA
19,1,3,68.8289543308,NA,NA,NA
20,3,5,71.8338902843,NA,NA,NA
21,1,3,73.8372895434,NA,NA,NA
22,1,3,76.8255596333,NA,NA,NA
23,0,3,79.8305517517,NA,NA,NA
24,0,3,82.8355330362,NA,NA,NA
25,1,3,85.8405687751,NA,NA,NA
26,2,5,88.8288226142,NA,NA,NA
27,1,3,90.8321665637,NA,NA,NA
28,1,3,93.8371680904,NA,NA,NA
29,0,3,96.8254498694,NA,NA,NA
30,0,3,99.8304137628,NA,NA,NA
31,0,3,102.835412724,NA,NA,NA
32,3,5,105.84038403,NA,NA,NA
33,1,3,107.827058979,NA,NA,NA
34,0,3,110.832054519,NA,NA,NA
35,1,3,113.837038084,NA,NA,NA
36,2,5,116.825339535,NA,NA,NA
37,0,3,118.828692323,NA,NA,NA
38,1,3,121.83365137,NA,NA,NA
39,0,3,124.838624386,NA,NA,NA
40,0,3,127.826945509,NA,NA,NA
41,1,3,130.831919951,NA,NA,NA
42,2,5,133.836938869,NA,NA,NA
43,0,3,135.840244045,NA,NA,NA
44,1,3,138.828553479,NA,NA,NA
45,1,3,141.833505683,NA,NA,NA
46,0,3,144.838523461,NA,NA,NA
47,1,3,147.826824626,NA,NA,NA
48,4,5,150.831840978,NA,NA,NA
48,4,6,151.320453902,NA,NA,NA
49,0,3,152.835144444,NA,NA,NA
50,1,3,155.840098929,NA,NA,NA
51,0,3,158.828433451,NA,NA,NA
52,1,3,161.833413595,NA,NA,NA
53,3,5,164.838443632,NA,NA,NA
54,0,3,166.825055005,NA,NA,NA
55,0,3,169.83008219,NA,NA,NA
56,1,3,172.835011872,NA,NA,NA
57,1,3,175.840072984,NA,NA,NA
58,2,5,178.828313424,NA,NA,NA
59,0,3,180.83167733,NA,NA,NA
60,1,3,183.836634666,NA,NA,NA
61,1,3,186.824793852,NA,NA,NA
62,0,3,189.829952469,NA,NA,NA
63,1,3,192.834957132,NA,NA,NA
64,4,5,195.839935851,NA,NA,NA
64,4,6,196.320674285,NA,NA,NA
65,1,3,197.826569746,NA,NA,NA
66,1,3,200.831531644,NA,NA,NA
67,1,3,203.83650352,NA,NA,NA
68,0,3,206.82481723,NA,NA,NA
69,0,3,209.829805072,NA,NA,NA
70,3,5,212.834839386,NA,NA,NA
71,0,3,214.838117477,NA,NA,NA
72,0,3,217.826434323,NA,NA,NA
73,0,3,220.831431288,NA,NA,NA
74,2,5,223.836432815,NA,NA,NA
75,0,3,225.839737135,NA,NA,NA
76,1,3,228.828038016,NA,NA,NA
77,1,3,231.833025003,NA,NA,NA
78,3,5,234.838019117,NA,NA,NA
79,1,3,236.824676961,NA,NA,NA
80,1,3,239.829748907,NA,NA,NA
81,0,3,242.834645802,NA,NA,NA
82,0,3,245.8396077,NA,NA,NA
83,1,3,248.82793595,NA,NA,NA
84,2,5,251.832843393,NA,NA,NA
85,1,3,253.836250921,NA,NA,NA
86,1,3,256.824574894,NA,NA,NA
87,0,3,259.829520826,NA,NA,NA
88,0,3,262.834521213,NA,NA,NA
89,0,3,265.839531007,NA,NA,NA
90,4,5,268.82780851,NA,NA,NA
90,4,6,269.321191173,NA,NA,NA
91,1,3,270.831152745,NA,NA,NA
92,0,3,273.836118349,NA,NA,NA
93,1,3,276.82444888,NA,NA,NA
94,1,3,279.829427598,NA,NA,NA
95,2,5,282.834701112,NA,NA,NA
96,1,3,284.837738292,NA,NA,NA
97,1,3,287.826050862,NA,NA,NA
98,0,3,290.831028155,NA,NA,NA
99,1,3,293.83599433,NA,NA,NA
100,1,3,296.824311461,NA,NA,NA
101,3,5,299.829278206,NA,NA,NA
102,0,3,301.832641827,NA,NA,NA
103,1,3,304.837638792,NA,NA,NA
104,1,3,307.825942809,NA,NA,NA
105,1,3,310.830886175,NA,NA,NA
106,3,5,313.835915642,NA,NA,NA
107,1,3,315.839247047,NA,NA,NA
108,0,3,318.827532532,NA,NA,NA
109,1,3,321.832514957,NA,NA,NA
110,2,5,324.837516769,NA,NA,NA
111,1,3,326.840860148,NA,NA,NA
112,1,3,329.829108,NA,NA,NA
113,1,3,332.834104395,NA,NA,NA
114,0,3,335.839084539,NA,NA,NA
115,3,5,338.827438449,NA,NA,NA
116,1,3,340.830757309,NA,NA,NA
117,0,3,343.835772806,NA,NA,NA
118,1,3,346.840715602,NA,NA,NA
119,0,3,349.829029883,NA,NA,NA
120,2,5,352.834001189,NA,NA,NA
121,1,3,354.837461174,NA,NA,NA
122,1,3,357.82566227,NA,NA,NA
123,1,3,360.830648401,NA,NA,NA
124,3,5,363.835637098,NA,NA,NA
125,1,3,365.838957099,NA,NA,NA
126,0,3,368.827275941,NA,NA,NA
127,0,3,371.832250668,NA,NA,NA
128,3,5,374.837275573,NA,NA,NA
129,1,3,376.840577328,NA,NA,NA
130,1,3,379.828889328,NA,NA,NA
131,1,3,382.833860634,NA,NA,NA
132,1,3,385.838839638,NA,NA,NA
133,2,5,388.827168173,NA,NA,NA
134,1,3,390.830479906,NA,NA,NA
135,1,3,393.835475446,NA,NA,NA
136,1,3,396.840469845,NA,NA,NA
137,0,3,399.828765594,NA,NA,NA
138,0,3,402.833742887,NA,NA,NA
139,4,5,405.838737001,NA,NA,NA
139,4,6,406.321137289,NA,NA,NA
140,0,3,407.825376313,NA,NA,NA
141,1,3,410.83037898,NA,NA,NA
142,0,3,413.835368248,NA,NA,NA
143,0,3,416.840342405,NA,NA,NA
144,3,5,419.828650128,NA,NA,NA
145,0,3,421.831977257,NA,NA,NA
146,0,3,424.836959396,NA,NA,NA
147,0,3,427.825277668,NA,NA,NA
148,2,5,430.83026551,NA,NA,NA
149,1,3,432.833570686,NA,NA,NA
150,1,3,435.838573353,NA,NA,NA
151,0,3,438.826851141,NA,NA,NA
152,0,3,441.83186008,NA,NA,NA
153,3,5,444.836854479,NA,NA,NA
154,1,3,446.840191301,NA,NA,NA
155,1,3,449.828481348,NA,NA,NA
156,0,3,452.833481735,NA,NA,NA
157,1,3,455.838465585,NA,NA,NA
158,4,5,458.826775304,NA,NA,NA
158,4,6,459.3207735,NA,NA,NA
159,0,3,460.830104713,NA,NA,NA
160,0,3,463.835080296,NA,NA,NA
161,1,3,466.840120881,NA,NA,NA
162,0,3,469.827994681,NA,NA,NA
163,2,5,472.833372826,NA,NA,NA
164,1,3,474.836669734,NA,NA,NA
165,1,3,477.841707468,NA,NA,NA
166,1,3,480.829945627,NA,NA,NA
167,3,5,483.834995051,NA,NA,NA
168,1,3,485.838299656,NA,NA,NA
169,1,3,488.82659455,NA,NA,NA
170,1,3,491.831600068,NA,NA,NA
171,0,3,494.836597033,NA,NA,NA
172,3,5,497.824864272,NA,NA,NA
173,1,3,499.828171443,NA,NA,NA
174,1,3,502.833208323,NA,NA,NA
175,1,3,505.838213271,NA,NA,NA
176,2,5,508.826493339,NA,NA,NA
177,1,3,510.829759741,NA,NA,NA
178,0,3,513.834785501,NA,NA,NA
179,1,3,516.839776479,NA,NA,NA
180,0,3,519.828073654,NA,NA,NA
181,1,3,522.833060355,NA,NA,NA
182,1,3,525.838076707,NA,NA,NA
NA,NA,99,532.52051269,NA,NA,NA
